INSERT INTO `peminjaman` (`id`, `kode_pinjam`, `peminjam_id`, `kd_barang`, `nama_peminjam`, `petugas_pinjam`, `petugas_kembali`, `status`, `denda`, `tanggal_pinjam`, `tanggal_kembali`, `tanggal_pengembalian`, `created_at`, `updated_at`) VALUES
(1, '861416829', 4, '42f88eec-7731-473e-b029-80b4fb18a8b6', 'Paulin Oktaviani', 2, 2, 3, 0, '2020-02-26', '2020-03-11', '2020-03-10', '2023-05-29 02:10:28', '2023-05-29 02:10:28'),
(2, '577205052', 5, 'c1df1e99-7b66-4f50-b259-9526eb5e23c8', 'Titi Padmi Suryatmi S.IP', 1, 2, 3, 0, '2020-06-14', '2020-06-28', '2020-06-27', '2023-05-29 02:10:28', '2023-05-29 02:10:28'),
(3, '669441500', 6, '717e8f07-2078-4fbe-9511-dbdf5f32b311', 'Rika Laksita', 1, 1, 3, 0, '2022-11-21', '2022-12-05', '2022-12-04', '2023-05-29 02:10:28', '2023-05-29 02:10:28'),
(4, '564363046', 7, '6a281f32-ea2d-4e83-8752-3502572fed27', 'Agus Maheswara', 1, 2, 3, 0, '2021-07-07', '2021-07-21', '2021-07-20', '2023-05-29 02:10:28', '2023-05-29 02:10:28'),
(5, '511634823', 8, '5b23d05d-52ad-4800-b31c-4f6b5ccfebdf', 'Qori Utami', 1, 2, 3, 0, '2022-11-14', '2022-11-28', '2022-11-27', '2023-05-29 02:10:28', '2023-05-29 02:10:28'),
(6, '136896338', 9, 'a6539ce2-ce49-4b8f-9079-c1fbe7c6c0e7', 'Omar Arta Nugroho', 1, 1, 3, 0, '2021-09-12', '2021-09-26', '2021-09-25', '2023-05-29 02:10:28', '2023-05-29 02:10:28'),
(7, '674087084', 10, '3cc7793a-8cfc-4156-8f2b-04e798d76216', 'Endah Aryani', 2, 1, 3, 0, '2020-11-15', '2020-11-29', '2020-11-28', '2023-05-29 02:10:28', '2023-05-29 02:10:28'),
(8, '968249320', 11, 'f404bae4-9e9a-4379-90bd-0b5df025e6b0', 'Uchita Purwanti', 1, 2, 3, 0, '2021-09-10', '2021-09-24', '2021-09-23', '2023-05-29 02:10:28', '2023-05-29 02:10:28'),
(9, '278000694', 12, '438074e6-7cb9-4914-bc75-453dd355306b', 'Ajeng Unjani Utami', 2, 1, 3, 0, '2021-10-09', '2021-10-23', '2021-10-22', '2023-05-29 02:10:28', '2023-05-29 02:10:28'),
(10, '865877310', 13, 'f45dccd5-264b-4fe8-af35-9dd39ea6953e', 'Padma Pertiwi', 2, 2, 3, 0, '2022-07-06', '2022-07-20', '2022-07-19', '2023-05-29 02:10:28', '2023-05-29 02:10:28'),
(11, '351281871', 14, 'db151d53-f0fc-4690-b689-79a5ba520acc', 'Jaswadi Pradipta', 1, 1, 3, 0, '2022-06-01', '2022-06-15', '2022-06-14', '2023-05-29 02:10:28', '2023-05-29 02:10:28'),
(12, '668849841', 15, '7049bd32-ab19-4c28-b726-42a2a49a15bd', 'Jasmani Hutagalung', 1, 2, 3, 0, '2022-04-10', '2022-04-24', '2022-04-23', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(13, '581413338', 16, '2494be30-043a-4df3-8447-1a25745a37f7', 'Intan Pratiwi S.I.Kom', 1, 1, 3, 0, '2020-07-31', '2020-08-14', '2020-08-13', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(14, '461036886', 17, '57fedf5b-0774-472c-bde1-2a2bc5bc15be', 'Titin Agustina', 2, 1, 3, 0, '2022-07-31', '2022-08-14', '2022-08-13', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(15, '336947623', 18, 'f5de307f-5a8c-4900-b860-6389db481eff', 'Wani Cici Hassanah M.TI.', 1, 1, 3, 0, '2020-10-23', '2020-11-06', '2020-11-05', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(16, '443458516', 19, '338c0bf0-e010-4a3c-9a8f-d3e7d865cf33', 'Karsana Sitorus', 1, 1, 3, 0, '2023-03-21', '2023-04-04', '2023-04-03', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
